firstName,lastName,email,middleInitial,phone,defaultAddressId,uid,Address,LatLong
Antonio,Santos,d2@mail.com,,,,,"PG3V+4G4, Mandurriao, Iloilo City, Iloilo","10.702795190177227, 122.54382226883178"
Teresa,Delgado,d3@mail.com,,,,,"R. Mapa Bgy. of, Brgy. Dungon C-Brgy. Sta. Rosa Rd, Mandurriao, Iloilo City, Iloilo","10.701411556856376, 122.54272649052685"
Ana,Lopez,d4@mail.com,,,,,"PG2V+PJW, R.Mapa St, Mandurriao, Iloilo City, 5000 Iloilo","10.701864382994444, 122.54411925548844"
Carlos,Santos,d5@mail.com,,,,,"88, Soriano Compound, San Pedro St, Molo, Iloilo City, Iloilo","10.700063137208854, 122.54512798596797"
Elena,Santos,d6@mail.com,,,,,"MGXW+HP5, San Marcos St, Molo, Iloilo City, Iloilo","10.698928526148316, 122.54684853642347"
Luisa,Flores,d7@mail.com,,,,,"201 Timawa St, Molo, Iloilo City, Iloilo","10.695341083519008, 122.54634673136938"
Isabel,Delgado,d8@mail.com,,,,,"Farmart Building, Lopez Jaena St, Molo, Iloilo City, 5000 Iloilo","10.692189076412218, 122.55083067295737"
Rosa,Santos,d9@mail.com,,,,,"Baybay, Tanza, Iloilo City Proper, Iloilo City, Iloilo","10.68934785107147, 122.55570556664425"
Maria,Navarro,d10@mail.com,,,,,"181-E, Iloilo City","10.692562918036472, 122.55897884037014"
Andres,Aquino,d11@mail.com,,,,,"zone 2 Rizal St, palapala, Iloilo City, 5000 Iloilo","10.691101707172479, 122.56396879561612"
Sofia,Morales,d12@mail.com,,,,,"De la Rama St, Iloilo City Proper, Iloilo City, 5000 Iloilo","10.693253124072825, 122.57301705400079"
Andres,Santos,d13@mail.com,,,,,"PH46+HP2 Mirasol Subdivision, Dicen St, La Paz, Iloilo City, 5000 Iloilo","10.706445502268268, 122.56172114633063"
Manuel,Cruz,d14@mail.com,,,,,"PH93+7XM Bakhaw, Mandurriao, Iloilo City, Iloilo","10.718271474871461, 122.55488531967242"
Carmen,Ramos,d15@mail.com,,,,,"PH96+G63, E Lopez St, Jaro, Iloilo City, Iloilo","10.718780361531149, 122.56049538860604"
Fernando,Morales,d16@mail.com,,,,,"Javellana St, Extension, Iloilo City, 5000 Iloilo","10.717582428483755, 122.5629863883702"
Ana,Mendoza,d17@mail.com,,,,,"60 - H Burgos Street, Brgy Burgos-Mabini, La Paz, Iloilo City, 5000 Iloilo","10.716212743341458, 122.56736496795392"
Carlos,Santos,d18@mail.com,,,,,"45-O Burgos St, La Paz, Iloilo City, 5000 Iloilo","10.713965011791029, 122.56666421192492"
Juan,Reyes,d19@mail.com,,,,,"276H Camacho Street, Old Railroad Line, Iloilo City, 5000 Iloilo","10.71263647939166, 122.56652671022474"
Carmen,Delgado,d20@mail.com,,,,,"Magsaysay Rd, La Paz, Iloilo City, 5000 Iloilo","10.711983469812555, 122.56125581213641"
Teresa,Castro,d21@mail.com,,,,,"PH65+Q3H, Mandurriao, Iloilo City, Iloilo","10.711123296429982, 122.55868911394442"
Elena,Garcia,d22@mail.com,,,,,"PH65+828, Mandurriao, Iloilo City, Iloilo","10.710817056101035, 122.55756618348097"
